R Code,LaTex,Variable,Description,Value,Units,,,,,,,,,,,
"aSeed <- ifelse(aStanding_Biomass<=1,aSeed_Size*squarewave(aTime_Month,aHarvest_Period),0)","B_{0} = \begin{cases}  b_{0}w(t_{m}), & \text{if}\ B\leq1 \\   0, & \text{if}\ B >1    \end{cases}",$B_{0} $,Biomass of seaweed sporelings if previous harvest proportion is 1,"$ \begin{cases}  b_{0}w(t_{m}), & \text{if}\ B\leq1 \\   0, & \text{if}\ B >1    \end{cases}$",kg,,,,,,,,,,,
"aHarvest_Proportion = round(squarewave(time + 1,aHarvest_Period)*get(f.harvest((time+1.1) %% 365,aHarvest_Freq)),2)",\bm{H} = w(t_{m}+1)H_{t_{m}},$\bm{H} $,Proportion of harvested biomass,$ w(t_{m}+1)H_{t_{m}}$,1,,,,,,,,,,,
aHarvest = aDry_Biomass*aHarvest_Proportion,H_{A} = Bh_{t},$H_{A} $,Biomass of harvested seaweed,$ Bh_{t}$,kg,,,,,,,,,,,
aGrazing <- sBiodiversity*aGrazing_Factor,g_{A} = \beta g_{f},$g_{A} $,Proportion of biomass consumed by grazers,$ \beta g_{f}$,d^{-1},,,,,,,,,,,
"aLoss = min(aGrazing + aHarvest_Proportion,1)","L = min(g_{A} + h_{t},1)",$L $,Total proportion of biomass removed by harvesting and grazers,"$ min(g_{A} + h_{t},1)$",1,,,,,,,,,,,
aTrips_Harvest <- ceiling(aHarvest/aHarvest_Capacity),Tr_{H} = \lceil H_{A}/H_{C}\rceil,$Tr_{H} $,Number of boat trips needed to harvest biomass,$ \lceil H_{A}/H_{C}\rceil$,trips,,,,,,,,,,,
"aTrips_Maintenance = squarewave(time + 1, round(365/aTrips_Maintenance_freq))",Tr_{M} = w(\frac{t+1}{365/Tr_{mf}) ,$Tr_{M} $,,$ w(\frac{t+1}{365/Tr_{mf}) $,,,,,,,,,,,,
"aTrips_Seed = ifelse(aSeed != 0, 1, 0)","Tr_{S} =  \begin{cases}  1, & \text{if}\ B_{0} \not= 0 \\
      0, & \text{if} B_{0} = 0     \end{cases}",$Tr_{S} $,Extra trip required to re-seed after full harvest,"$  \begin{cases}  1, & \text{if}\ B_{0} \not= 0 \\
      0, & \text{if} B_{0} = 0     \end{cases}$",trips,,,,,,,,,,,
aTrips <- aTrips_Harvest + aTrips_Maintenance + aTrips_Seed,Tr = Tr_{H} + Tr_{M} + Tr_{S},$Tr $,Total number of trips,$ Tr_{H} + Tr_{M} + Tr_{S}$,trips,,,,,,,,,,,
Ecosystem Module,Ecosystem Module,Ecosystem Module,,$$,,,,,,,,,,,,
aProbability_Loss = ((aCf_Shape/aCf_Scale)*(c(1:FINISH)/aCf_Scale)^(aCf_Shape - 1))*exp((c(1:FINISH)/aCf_Scale)^aCf_Shape),"E_{p,t} = min \left(1,(\frac{\gamma_{p}}{\gamma_{l}})(\frac{t}{\gamma_{l}})^{(\gamma_{p}-1)} \cdot e^{(\frac{t}{\gamma_{l}})^{\gamma_{p}}}\right)","$E_{p,t} $","The probability at age, t, of loss due to erosion, rodriguez et al. 2013, probability of frond loss at age, t (in days)","$ min \left(1,(\frac{\gamma_{p}}{\gamma_{l}})(\frac{t}{\gamma_{l}})^{(\gamma_{p}-1)} \cdot e^{(\frac{t}{\gamma_{l}})^{\gamma_{p}}}\right)$",1,,,,,,,,,,,
aLoss_Erosion = sum(aBmass_1_Day*aProbability_Loss),"L_{e} = \sum_{t=1}^{t_{\omega}} \bm{S_{t}} \cdot \bm{E_{p,t}}",$L_{e} $,Biomass lost to erosion,"$ \sum_{t=1}^{t_{\omega}} \bm{S_{t}} \cdot \bm{E_{p,t}}$",kg,,,,,,,,,,,
aCf_Age,auxs,auxs,Eco,$\gamma_{a}$,Parameter defining shape of seaweed biomass to surface area model,0.002739726,,,\textit{This Study} *** the divisor is the number of days in a year,,,,dimensionless,,,
aCf_SA,auxs,auxs,Eco,$\gamma_{s}$,Parameter defining shape of seaweed biomass to surface area model,0.000196078,,,\textit{This Study} ** the divisor is the maximum surface area from a non-harvesting run of the model.,,,,dimensionless,,https://royalsocietypublishing-org.ezproxy.library.uq.edu.au/doi/full/10.1098/rspb.2017.2571,"** not used citation, substrate may be more important for diversity"
aPredicted_Biodiversity = aCf_Age*aAge_Mean + aCf_SA*aSurface_Area,\beta' = \gamma_{a}\bar{a} + \gamma_{s}SA,$\beta' $,Proportion of habitat complexity based on one year of no harvest,$ \gamma_{a}\bar{a} + \gamma_{s}SA$,1,,,,,,,,,,,
Market Module,Market Module,Market Module,,$$,,,,,,,,,,,,
aFeed_Production <- aFeed_Proportion*aHarvest*(1-aWater_Content)/100,P_{Fe} = Pr_{Fe}H_{A}(1-w_{c}),$P_{Fe} $,Biomass of seaweed used for feed,$ Pr_{Fe}H_{A}(1-w_{c})$,kg,,,,,,,,,,,
aFood_Production <- aHarvest*aFood_Proportion*(1-aWater_Content)/100,P_{Fo} = Pr_{Fo}H_{A}(1-w_{c}),$P_{Fo} $,Biomass of seawood used for food,$ Pr_{Fo}H_{A}(1-w_{c})$,kg,,,,,,,,,,,
aFeed_Revenue <- aFeed_Price*aFeed_Production,R_{Fe} = \rho_{Fe}P_{Fe},$R_{Fe} $,Revenue from feed production,$ \rho_{Fe}P_{Fe}$,dollars,,,,,,,,,,,
aFood_Revenue <- aFood_Price*aFood_Production,R_{Fo} = \rho_{Fo}P_{Fo},$R_{Fo} $,Revenue from food production,$ \rho_{Fo}P_{Fo}$,dollars,,,,,,,,,,,
aFuel_Consumed <- 2*aDistance_Port*aTrips*aFuel_Efficiency,F_{-} = 2d_{P}TrF_{e},$F_{-} $,Fuel consumed by boats,$ 2d_{P}TrF_{e}$,litres,,,,,,,,,,,
aFuel_Cost <- aFuel_Consumed*aFuel_Price,F_{c} = F \cdot \rho_{Fu},$F_{c} $,Fuel cost,$ F \cdot \rho_{Fu}$,dollars per litre,,,,,,,,,,,
aLabour_Cost <- aTrips*aWages*aPersonnel,\iota_{c} = Tr \cdot \rho_{w}j,$\iota_{c} $,Labour cost,$ Tr \cdot \rho_{w}j$,dollars per FTE,,,,,,,,,,,
aMaintenance_Cost = aMaterials_Cost*aTrips_Maintenance*aArea_Farm,M_{c} = m_{c}Tr_{M}A_{farm},$M_{c} $,,$ m_{c}Tr_{M}A_{farm}$,,,,,,,,,,,,
aCost <- aFuel_Cost + aMaintenance_Cost + aLabour_Cost,C = F_{c} + \rho_{m} + \iota,$C $,Total cost of operation,$ F_{c} + \rho_{m} + \iota$,dollars,,,,,,,,,,,
Carbon Module,Carbon Module,Carbon Module,,,,,,,,,,,,,,
aFeed_Consumption <- sFeed_Biomass/aHarvest_Period,Fe_{-} = B_{Fe}/H_{p},$Fe_{-} $,Feed used to convert to livestock biomass,$ B_{Fe}/H_{p}$,kg/day,,,,,,,,,,,
